card_number,card_name,keywords_on_card
535,Divine Focus,Gain HOLY; Holy Cards; While
536,Divine Gilt,HOLY; Lucky Coin
537,Divine Inspiration,Delve; Divine
538,Divine Lashings,my(status)Zeal; Take; Zeal
539,Divine Power,Charges; Gain Anger; Gain Oathbound; HOLY; Rally; Scars; scars
540,Diving Strike,Conjure; On Hit; Scorpion Strike
541,Divinity,HEALTH; Interrupt; Maximum Health
542,Divinity,HEALTH; Interrupt; Maximum Health
543,Donation,Conjure; Gain HOLY; Lucky Coin; s; Synergy; tempValue+1
544,Doomsay,Add; Foretold; tempValue; Terror
545,Double Barreled,Ammo
546,Double Nock,Arrows; Coins; DEX; Echo; Ranged Action; Reduce
547,Double Tap,Ambush; Gain Ferocity
548,Double Up,
549,Dragon Breath,Barrier; Inflict Burning; Persistent; tempValue+1
550,Dragon Claws,
551,Dragon Kick,Inflict; Persistent; Shocked; tempValue
552,Dragon Mind,Focus; Persistent; tempValue; Turn
553,Dragon Punch,Focus; Increase; Persistent; tempValue; Turn
554,Dragon Scales,Armor; Increase; Persistent; Reflect; tempValue+3; Turn
555,Dragon Wraps,Add; Persistent; tempValue; Turn
556,Dragonslayer,Maximum HEALTH
557,Drain (Companion),Advantage; companionlevel+3; Lifedrain
558,Drain Health,Can; Corrupted; Lifedrain
559,Drain Soul,Affliction; Deals; Defiled; Lifedrain; otherAfflictions
560,Drain Strength,Anger; Inflict; Weakness
561,Draining,Echoing Lifedrain
562,Drake Familiar,Activate; Attune; Deplete; Drake; Durability; Summon
563,Drakkan,Execute; Hex; Inflict; On Hit; Upgrade
564,Draw,
565,Draw Blood,Bleeding; damageBonus+2; Flanking; Inflict; Upgradeable
566,Draw Yantra,Conjure; Delve; Mantra; Scholar
567,Dressed to Kill,Charmed; Poison
568,Drinking Shanty,Conjure; Perform; Potion
569,Drowning,Drowning; Frozen
570,Duel Mastery,Basic Attacks; Deep Wound
571,Duelist Contract,Execute; Upgrade
572,Dull Axe,Decapitator; Heavy; Majatome; permaValue; Rebound; Transform
573,Dull Hammer,Heavy; permaValue; Rebound; Thundering Might; Trancor; Transform
574,Duskblades,Critical Hit; Darkness; Has
575,Earth Shuffle,Shuffle; Staggered
576,Earthen Shield,Gain Resilience; Shuffle
577,Earthshock,HEALTH; Inflict Stunned; Stagger
578,Ebb,Change; Ebb
579,Echo Chamber,Create; Enchantment
580,Echoing Strike,lastDamage
581,Effigy,Any; Create; Maximum HEALTH; Pin; Turn
582,Effortless Magic,Cards
583,Eldermind Pendant,Dragon; Turn
584,Eldritch Binding,Bane; Charges; Cursed; Inflict; Inflict Jinxed
585,Eldritch Flame,Add; corruptionCards; Corruptions; Forbidden Fruit
586,Eldritch Ritual,(areaSpecial)Eldritch Ritual; Araxx; Eldritch Ritual; Increases; Insanity; Xhev
587,Eldritch Ritual Listener,(areaSpecial)Eldritch Ritual; Araxx; Eldritch Ritual; Increases; Insanity; Xhev
588,Electroflare,Burning; Chain; Inflict
589,Electrosurge,Chain
590,Elegance,Evasion; Impervious; Performing
591,Elemental Focus,Attunement; Element; Magic Action
592,Elemental Power,Attunement
593,Elite Fireball,Inflict Burning; Lifedrain
594,Elite Frostbolt,Inflict Frozen; Lifedrain
595,Elite Lightning Bolt,Chain; Lifedrain
596,Elite Prayer,Bury; Gain HOLY; HOLY
597,Elite Weaponry,Delve; Elite; One Use
598,Emerald Prism,Cards; DEX; enchantmentStacks; Ferocity
599,Encore!,GOLD; One Use; Perform
600,Energize,Chain; INT; my(status)Chain; Take
601,Energy Infusion,allEnergy; Melee Actions
602,Energyshield,Barrier
603,Enfeeble,Inflict; Maximum HEALTH; otherMaxHealth/10; Weakness
604,Enigma,ANY
605,Enlighten,Focus; my(status)Focus; Reduce; Repeat
606,Enrage,Add; Anger; Fury
607,Entrapment,Add; Persistent; Snares; Synergy; tempValue
608,Envy,Anger; Unplayable
609,Essence of Life,HEALTH; Heavy; One Use
610,Essence of Pain,Anger; HEALTH; Heavy; One Use
611,Essence of Vigor,DEX DEX; Gain DEX; HEALTH; Heavy; One Use
612,Essential Oils,Channel; Create; Potion; Potions
613,Eternity,Take
614,Euphoria,Health; Turn
615,Evangelize,Blessing; Firecast; Gain Zeal
616,Evil Eye,Charges; Delve; Hex
617,Evocation,Attune; Conjure; Fire; Frost; Lightning
618,Exalt,Ascend; Firecast; Grounded
619,Execute,Slay
620,Exorcise,Critical Hit; Demons; Lifedrain; Undead
621,Exorcism,Critical Hits; Demons; Undead
622,Expel Corruption,Affliction; Cleanse; Gain STR; VOID; VOIDVOIDVOIDVOID
623,Exploration,Ambush; Evasion; Foretell
624,Explorer's Trick,Add; Discard Pile; Rewards; Scholar; Treasure; Untempered Artifact
625,Expulsion,Frenzy; Lifedrain; my(status)Zeal; Piercing; Zeal
626,Exterminate,Flanking
627,Extricate,Add; Essence; On Hit
628,Fade to black,Blessings; Convert ALL; Darkness
629,Fae Familiar,Activate; Durability; Gains; Prank; Wand
630,Faerystorm,Add; Cursed; Increases; Persistent; Prank; s; tempValue+1
631,Faewand,Add; Chaotic; Cursed; On Hit; Pranks
632,Faith Healing,Firecast; HEALTH; HOLY
633,False Profit,Conjure; HOLY; Lucky Coin
634,Fan the Flames,Burning; Bury; Double
635,Fanaticism,Firecast; Rally; Zeal
636,Fast Forward,Haste; Scholar; Slow
637,Fatigue,fatigue
638,Favor of the Gods,Blessing; HOLY
639,Feast,Execute; HEALTH
640,Feast on Misery,Add; Afflictions; Corrupted; Forbidden Fruit; hexes; Hexes; otherAfflictions
641,Featherform,Focus; Form; Raven; Shift
642,Fellblast,Corrupted; Cursed; Lifedrain
643,Fellstorm,Channel; Corruption; damageBonus+1; Lifedrain
644,Feral Mark,Companion; Critical Hits; Mark
645,Feral Strikes,Basic Attack; Frenzy; Gain Anger; Make
646,Feral Weapon,enchantmentStacks; Regenerate
647,Fertility,Consumes; Focus; Heal; HEALTH; Health
648,Fervent Spirit,allEnergy; Also; Bolster; Burning; Frenzy; Spend
649,Fervent Strikes,Attacks; Demons; Firecast; Undead; Zeal
650,Festering Wounds,Bleeding; Poison
651,Fetch Weapon,Basic Attack
652,Field Repairs,Armor; Charges; Durability; Equipment; Frenzy; Restore
653,Field Surgery,Charges; Regenerate; Take
654,Fierce Guardian (Companion),Armor; companionlevel; Turn
655,Fiery Barrage,Fireballs; Persistent; Shuffle
656,Fiery Incantation,Bury; Cleanse; Frozen; Gain INT; INT
657,Fiery Rapture,Burning; HEALTH; Maximum; Zeal
658,Fight Dirty,Delve; Melee Action; Sinister
659,Fight for Control,Defiled Energy; Demon Form; Destroy
660,Fire Attunement,After; Attune; Element; Fire; INT
661,Fire Nova,Burning; Firecast; Inflict; Nova; novacards; Repeat
662,Fire Shield,Attune; Barrier; Burning
663,Fireball,Firecast; Inflict Burning
664,Firebinders,Burning; Inflict; Swap
665,Fireside Blessings,Activate; Durability; Firecast; Otherwise
666,First Aid Kit,Bandages; Charges; Conjure
667,First Rites,Gain Armor; Memorized; Move
668,Flameclaw,Activate; Armor; Burning; Combust; Durability
669,Flash Ammo,Hit; Ranged Actions; Shocked
670,Flashfreeze,Chain; Frozen; Inflict
671,Flashheal,HEALTH
672,Flashing Fists,Basic Attacks; Evade; Increases
673,Flat-Tipped Ammo,Ranged; Stagger
674,Fleeting Thoughts,Bury; Conjure; INT
675,Flintlock,Ambush; Critical Hit; Flintlocks; Swap
676,Flourishing Bow,Charmed; Evasion; Finale; Inflict; Perform
677,Flow,Change; Flow
678,Fluid,On Hit
679,Flurry,Basic Attack
680,Flurry of Blows,Quick Jab; Sudden Strike
681,Flurry of Steel,Basic Attack; Cascade; Conjure; Frenzy; Unscathed
682,Flying Carpet,Activate; Carpet; Deplete; Durability; Gain Evasion; Return Flying
683,Follow Through,actionsPlayed; Deep Wound; Flow; Hits; otherWounds; STR
684,Font of Youth,After; Grounded; HEALTH; Persistent
685,Foodfight,Ingredient
686,Forbidden Fruit,HEALTH; One Use
687,Forbidden Magic,Conjure; Corrupted; Elite; Fireball; Frostbolt; Lightning Bolt
688,Force Expulsion,Barrier; Shocked
689,Forceshield,cardsInHand; Gain Barrier
690,Forcewand,Chain
691,Forecast,Magic Action
692,Foresight,Foretell; foretell+3
693,Forge of Wrath,Activate; Battlespear; Durability; HOLY
694,Forged in Blood,Battlespear; Create; damageTakenLastTurn; Untempered; Upgrade
695,Forged in Fire,Battlespear; Create; healingTurn; HEALTH; Untempered; Upgrade
696,Forgehammer,Forgehammer; Upgrade
697,Forgiving Grace,Bolster; Charmed; HEALTH; Lasting
698,Forgotten Mask,Activate; Chimera; Durability; permaValue; Shift; Visage
699,Form of the Bear,Armor; Channel; HEALTH; Turn
700,Form of the Cat,Channel; Haste; Lay; Play; Turn; Wait
701,Form of the Dragon,Channel; Cleanse; Gain INT; Turn
702,Form of the Elm,Channel; Reflect; Turn
703,Form of the Maple,Channel; Lose; Poison; Potency; Turn
704,Form of the Oak,Channel; Decay; Lose; Resilience; Turn
705,Form of the Raven,Channel; Focus; Turn
706,Form of the Willow,Barrier; Channel; Doom; Lose; Turn
707,Fortified,Your Armor
708,Fracture,Armor
709,Frenzied,Fury; On Hit; Shuffle
710,Frenzied Stance,Critical Hit; Dominated; Immune
711,From the Void,Charges; Corruptions; Return
712,Frost Arrow,Frozen; Inflict
713,Frost Attunement,Barrier; Element; Frost
714,Frost Nova,Frozen; Inflict; Nova; novacards; Repeat
715,Frost Shield,Attune; Barrier; Frozen
716,Frostbinders,Frozen; Inflict; Swap
717,Frostblock,Charges; Negate
718,Frostbolt,Inflict Frozen
719,Frostlance,Frozen
720,Funhouse,Clone; Clones; Summon; Terror
721,Fur Hide,Anger; Armor; Bear; Form; Shift
722,Furious Recovery,damageBonus; Fury; Rally; Upgradeable
723,Fury,(cardvalue); Anger; Take
724,Fusion,Attune; Attunement; enchantmentStacks; Magic Actions
725,Garbarrage,Scrap Pile; scrapcards; Untempered
726,Garrote,Inflict Bleeding; sinister; Sinister
727,Gather Thoughts,Foretold; Reduce
728,Gathering Storm,Echo; Persistent; tempValue
729,Gaze into the Beyond,Focus; Foretell
730,Ghost Wound,HEALTH; Piercing; Reaping
731,Ghostcleave,Critical Hit; Lifedrain; permaValue; Rebound
732,Gift of Nature,Heal; HEALTH; Monster Cards; One Use; While
733,Gift of the Sea,Delve; Equipment; Persistent
734,Gift of the Sea,Persistent
735,Gilded Blade,Ambush; Gain HOLY; Lucky Coin; On Hit
736,Gilded Gauntlets,Activate; Blessing; Durability
737,Gilded Grace,Impervious; Lucky Coins
738,Gilded Ring,Charmed; damageBonus+5; GOLD; Inflict; myGold; Repeat; Upgradeable
739,Gilded Staff,HOLY; Trigger; Turn
740,Glaive,Flanking; Your Companion
741,Glaivestrike,Basic Attack; Conjure; Corrupted; Hexglaive; Make; On Hit
742,Gleeful Torment,Add; sinister; Sinister; Snare; Snares; Upgrade
743,Glimmer,Charmed; One Use
744,Glimpse of Evil,Add; Bane; Corrupted; Inflict; Terror
745,Gluttony,Poison; Unplayable
746,Golden Idol,Dazzled; Delirious; Inflict; On Draw
747,Golden Prism,Cards; enchantmentStacks; HEALTH; HOLY
748,Goldrush,GOLD; Persistent
749,Goldrush (Tides),Ferocity; GOLD; Persistent
750,Goldstrike,GOLD; myGold
751,Good Tidings,Affliction; Channel; Focus; Tide
752,Gouge,Basic Attack; Bleeding; Inflict; Make
753,Grace of Light,Blessings; Increase; Performance; performanceStacks
754,Grand Entrance,Ambush; Perform; Reset
755,Grappler,On Hit; Scavenge
756,Gratitude,Affliction; Cleanse
757,Grave Pact,Heavy; Maximum HEALTH; Steal; tempValue
758,Gravedance,cardsReturnedThisTurn; Perform; Persistent; Repeat
759,Gravesite,Activate; Durability; Skip
760,Greatbow,Ambush; Critical Hit; Evasion
761,Greater Good,Grounded; One Use; Remove
762,Greatsword,Critical Hit; HOLY
763,Greed,Unplayable
764,Grievous Injury,Bloodlust; Deep Wound; Inflict; Lifedrain; permaValue; Rebound
765,Grimoire of Fire,Activate; Deplete; Durability; Fire; Fire Action; Gain Aura
766,Grimoire of Hate,Activate; Corrupted Action; Deplete; Durability; Gain Lifelink
767,Grimoire of Ice,Activate; Deplete; Durability; Frost Action; Gain Aura; Rime
768,Grimoire of Storms,Activate; Deplete; Durability; Gain Amp; Lightning Action
769,Grimoire of Taste,Activate; Deplete; Durability; Eater; Gain Big; Ingredient
770,Grimoire of Thieves,Activate; Deplete; Durability; Monster Action; Monster Enchantment
771,Groundpound,Brittle; cardsDrawnThisTurn; Enter Shattering; Stance
772,Guard (Companion),Advantage; Armor; companionlevel*2; companionlevel/2; Regenerate
773,Guerrilla Tactics,Ambush; Evasion
774,Guidance,HOLY; Reduce; Your Companion
775,Guiding Shot,Focus
776,Hail of Arrows,Arrow; DEX; Spend
777,Hail of Steel,Basic; Blessings; Make; Repeat
778,Halifax,Blessing; Firecast; Piercing
779,Hallowed Ground,Burning; Enemies
780,Halo of Conviction,Memorized; Zeal
781,Halo of Harmony,Bury; HOLY; Memorized
782,Halo of Purity,Bury; Memorized; Virtue
783,Halo of Wrath,Burning; Bury; Memorized
784,Hammer,Increase Armor; On Hit
785,Handcannon,Bomb
786,Harmful Intent,Add; Ambush; Snares; Upgrade
787,Harmony,channeling; Channeling; INT
788,Harp,Hymn; Perform; permaValue; Play; Rebound
789,Haste,Haste
790,Hatchet,Attack; Flanking
791,Haunting Laugh,Corruption; corruptionsInHand; Fear; Inflict; Repeat; Swap
792,Headbutt,Damage; Interrupt; Maximum HEALTH; myMaxHealth
793,Heads,GOLD; One Use
794,Headshot,Critical Hit; Deep Wound; Inflict
795,Healing Orb,HEALTH
796,Healing Potion,HEALTH; One Use
797,Heartfelt Sermon,Charmed; HOLY; Perform
798,Heartstriker,Critical Hit; Darkness; Piercing; While
799,Hearty Flank,Gain STR; Garnish; HEALTH; One Use
800,Heavy Armor,Armor
801,Heavy Crate,Heavy; One Use; Persistent; Untempered
802,Heavy Strike,
803,Heavy Swing,Rampage
804,Helios,Execute; Firecast; Grounded; Lifedrain; Piercing
805,Hellforged Axe,Fury; Rampage; Shuffle
806,Herald,Charges; Deplete; Perform
807,Hex of Cold,Frozen; Hexes
808,Hex of Feebleness,Hexes; Increase
809,Hex of Flames,Burning; Hexes
810,Hex of Life,Drain; HEALTH; Hexes
811,Hex of Vulnerability,Hexes; Vulnerable
812,Hex of Wounding,Bleeding; Hexes
813,Hexglaive,Corrupted; Deals; Hex; Lifedrain
814,Hexterminate,Chain; Hexes; On Hit; Trigger
815,Hidden Blade,Ambush; Improved; sinister; Sinister
816,Hidden Flurry,After; Basic Attack; Make; s; Sinister; tempValue+1
817,Hidden Pouch,Activate; Durability
818,Hidden Pouch Effect,Conjure; Durability; Hidden Pouch
819,Hidden Weapon,Ambush; Attack; Basic; Conjure
820,Hierophany,Code
821,Hoarding Presence,Enchantment
822,Hold the Line,Gain Bolster; Gain Ward; HEALTH
823,Hollow-tip Ammo,Critical Hit; Ranged Actions
824,Holy Defiance,HEALTH; On Death; Overkill; Starts; Upgrade
825,Holy Fire,Burning; HOLY; Inflict
826,Holy Mackerel,Garnish; HEALTH; One; Rally; Remove; Scar
827,Holy Nova,Firecast; HEALTH; Nova; novacards; Repeat
828,Holy War,Ascend; Scars
829,Holy Water,Burning; HEALTH; One Use; Undead
830,Houroboros,Activate; Deplete; Durability; Foretell; foretell+3; Reactivates; Take; Tide
831,Howl (Companion),Advantage; Bane; Inflict
832,Humility,Dispel
833,Hungering Strike,Execute; Lifedrain
834,Hunter's Mark,HEALTH
835,Hunter's Presence,Critical Hit; Ferocity
836,Hush,Add; Inflict; Jinxed; Snare; Snares; snares
837,Hydroform,Clone
838,Hydromancy,Change; Charges; DEX; Ebb; Flow; For; INT; Tide
839,Hymn of Conviction,Burning; Inflict
840,Hymn of Conviction I,Burning; Inflict
841,Hymn of Conviction II,Burning; Inflict
842,Hymn of Conviction III,Burning; Inflict
843,Hymn of Light,HOLYHOLY; HOLYHOLYHOLY; HOLYHOLYHOLYHOLY
844,Hymn of Light I,Gain HOLYHOLY
845,Hymn of Light II,Gain HOLYHOLYHOLY
846,Hymn of Light III,Gain HOLYHOLYHOLYHOLY
847,Hymn of Mercy,Charmed; Inflict
848,Hymn of Mercy I,Charmed; Inflict
849,Hymn of Mercy II,Charmed; Inflict
850,Hymn of Mercy III,Charmed; Inflict
851,Hymn of Penance,Piercing
852,Hymn of Penance I,Piercing
853,Hymn of Penance II,Piercing
854,Hymn of Penance III,Piercing
855,Hymn of Power,Blessings
856,Hymn of Power I,Blessings
857,Hymn of Power II,Blessings
858,Hymn of Power III,Blessings
859,Hymn of Vitality,HEALTH
860,Hymn of Vitality I,HEALTH
861,Hymn of Vitality II,HEALTH
862,Hymn of Vitality III,HEALTH
863,Hypnosis,Choose One; Consumes; Focus; Play
864,Hypnosis 1,Delve
865,Hypnosis 2,Delve
866,Ice Lance,Critical Hit; Frozen
867,Iceblast,Frozen; Inflict
868,Idolize,Charges; Summon; Totem
869,Ill-Gotten Gains,GOLD; Greed; One Use
870,Illumination,Bury; Gain HOLY; tempValue
871,Illusionary Arms,Basic Attack
872,Illusionary Presence,Action; Conjure
873,Imaginarium,ANY INT; Delve; Psionic
874,Imp Offer,Anger; GOLD; roundNumber*2
875,Imp Offer 1,Afflictions; Anger; my(status)Anger
876,Imp Offer 2,Anger; GOLD; Lose; my(status)Anger
877,Imp Offer 3,difficulty*3; HEALTH; Lose
878,Imp Offer 4,chapter*10; HEALTH
879,Imp Offer 5,Random Enchantment
880,Imp Offer 6,Anger; Bury; my(status)Anger
881,Impending Doom,Channel; Doom; Focus; my(status)Focus; Turn
882,Imprint,Magic Action
883,Improvision,Charges
884,Incendiary Ammo,Burning; Hit; Ranged Actions
885,Inevitable End,damageBonus+1; Doom; Upgradeable
886,Infernal Contract,Corrupted; HEALTH; Impervious
887,Infernal Racket,Delirious; Gain Anger; On Draw
888,InfernalOffering,Infernal Offerings; Placeholder
889,Inner Demon,Anger; Defiled; permaValue; Waning
890,Innervation,Chain; Channel; Conjure; Critical Hit; Lightning; my(status)Chain
891,Insidious Strike,Damage; sinister; Sinister
892,Inspiring Shanty,Perform
893,Intervention,Firecast; Impervious; Rally
894,Into the Pot,damageBonus; HEALTH; Potion; Slay; Upgradeable
895,Invocation,Blessings; Gain HOLY; HEALTH; myBlessings
896,Ire of Serem-Pek,Combat; Gain Doom; HEALTH
897,Iron Blood,Armor; my(status)Armor; Take
898,Judgment,Gains; Zeal Piercing
899,Juggling Balls,Activate; Deplete; Durability; Perform; Tada
900,Juggling Balls Effect,Activate; Durability; Perform
901,Junk Dive,allEnergy; Delve; Junk; Reduce
902,Junklord,
903,Junkyard,Add; damageBonus+1; Junk; Play; s; Scrap Pile; Starts; Turn; Upgradeable
904,Karma Strike,Attacks; Make Basic
905,Katana,Critical Hit; Reduce
906,Keelhaul,Drowning; Gain Sinister; Inflict; Persistent; sinister; Sinister; Tidal
907,Keelhaul (Tides),Inflict Drowning; Persistent; sinister; Sinister
908,Khanjali,Inflict Poison; sinister; Sinister
909,Killer Instincts,Ambush
910,Kitchen Brawl,Ingredient; tempValue+1
911,Kitchen Raid,Create; Frenzy; Ingredient
912,Knowledge,Focus
913,Knuckles,Cascade; Conjure
914,Lacerate,Bleeding; Inflict
915,Landsmeet,Banner; banners; Delve; Treaty
916,Larceny,Charges; Steal
917,Larceny DEX,DEX; Steal
918,Larceny HOLY,HOLY; Steal
919,Larceny INT,INT; Steal
920,Larceny STR,Steal; STR
921,Lash Out,Can; Melee
922,Last Laugh,Bane; Fear; Finale; Inflict; Maximum HEALTH; Swap
923,Last Stand,Gain Armor; myMissingHealth
924,Lay In Wait,Critical Hit; Evasion
925,Lay of the Land,Charges; Delve; Scrap Deck
926,Lead Pipe,Dazed; Inflict; On Hit; One Use; Persistent; Untempered
927,Lead the Charge,Banner; Blessing; Gain Rally; Memorized; ownedbanners; Repeat
928,Leaping Shot,Evasion
929,Leave a Mark,Ferocity; Flanking; Inflict Marked
930,Legplates,Activate; Durability; Equipment
931,Leo's Pride,Advance; After; Evasion; Focus
932,Leo's Pride II,Advance; After; Focus
933,Leo's Pride III,After; Delve; Focus; Revelation
934,Lethal,Critical Hit; Inflict; On Hit
935,Lieutenant,
936,Lifedrinker Venom,Gain HEALTH; One Use
937,Lifelink,Barrier; BLOOD
938,Lifepod,HEALTH; Regenerate
939,Lightning Attunement,Attune; Element; Lightning Action
940,Lightning Bolt,Chain
941,Lightning Rod,Chain; damageBonus+3; Shocked; Upgradeable
942,Lightning Shield,Attune; Barrier; Chain
943,Living Fort,Armor; Gain Fortified
944,Lock and Load,Ammo; Bomb; Conjure; Reload
945,Lockbox,GOLD; Lose; One Use; permaimprint
946,Longsword,Armor; damageBonus+2; Upgradeable
947,Lost Lagoon,Grounded; Location; Persistent; Swap; Tide; Unplayable
948,Love Potion,Add; Charmed; Glimmer; Inflict; One Use
949,Lovestruck,Charmed; Critical Hits
950,Luck of the Draw,
951,Lucky Coin,GOLD; Lose
952,Lunging Strike,Enter Steady; Stance
953,Lust,Unplayable; Vulnerable
954,Lust for Battle,Add; Anger; attacksInEnemyHand; Fury
955,Lust for Blood,Bleeding; Darkness; Gain Ferocity
956,Mage Armor,Barrier; Chain; The Barrier
957,Magebane,Blessing; Dispel; On Hit
958,Mageblade,Focus; Magic; While
959,Majatome,Execute; Lifedrain; Maximum Health; otherMaxHealth
960,Majestic Grandeur,After; Charmed; Legendary; Maximum HEALTH
961,Majestic Grandeur Listener,After; Charmed; Legendary; Maximum HEALTH
962,Majestic Mind,Conjure; Dragon; Turn
963,Maki Tagdahar,Critical Hit; Ferocity
964,Malignance,Anger; On Draw; Take; Unplayable
965,Mantra Mastery,Increase; Mantras; Scholar; Trigger; Turn
966,Mantra of Mind,(cardvalue); Focus
967,Mantra of Pain,(cardvalue)
968,Mantra of Soul,(cardvalue); Basic Attacks
969,Mantra of Stone,(cardvalue); Barrier
970,Mantra of Time,(cardvalue); Momentum
971,MantraSoulEffect,(cardvalue); Basic Attacks
972,Map of Forms,After; Determines; Grounded; One Use; Plunder; Sunforge; TYPE
973,Map of Forms 1,All; Melee
974,Map of Forms 2,All; Ranged
975,Map of Forms 3,All; Magic
976,Map of Forms 4,All; Divine
977,Map of Forms 5,All
978,Map of Hues,After; COLOR; Determines; Grounded; One Use; Plunder; Sunforge
979,Map of Hues 1,All; DEX
980,Map of Hues 2,All; AQUA
981,Map of Hues 3,All; ORANGE
982,Map of Hues 4,All; INT
983,Map of Hues 5,All; PURPLE
984,Map of Hues 6,All; STR
985,Map of Hues 7,All; HOLY
986,Map of Hues 8,All; NEUTRAL
987,Map of Hues 9,All; BLOOD
988,Map of Power,After; CATEGORY; Determines; Grounded; One Use; Plunder; Sunforge
989,Map of Power 1,Action; All
990,Map of Power 2,All; Enchantment
991,Map of Power 3,All; Item
992,Map of Power 4,All; Equipment
993,Map of Riches,After; Determines; Grounded; One Use; Plunder; RARITY; Sunforge
994,Map of Riches 1,All; Common
995,Map of Riches 2,All; Uncommon
996,Map of Riches 3,All; Rare
997,Map of Riches 4,All; Legendary
998,Martial Combat,Basic Attack; Lasting
999,Martyr's Assault,Untempered
1000,Martyr's Resolve,HEALTH
1001,Master of Arms,Basic Attack; Basic Attacks; enchantmentStacks; Increases
1002,Master of Crafts,Adapt; Adaptation; Delve
1003,Master of Forms,Anger Unique; Beastform; Shift
1004,Masterchef,Add; Ingredients
1005,Materialize,Bleeding; Inflict; Persistent; Piercing
1006,Maul (Companion),Advantage; Attack; companionlevel+4
1007,Mauler,Crushing; Fury; Rampage; Shuffle
1008,Mechanical Arm,Activate; Durability; Play
1009,Medikit,Activate; Durability; HEALTH
1010,Meditations,Mantra
1011,Melee Mastery,Basic Attack; Choose; Melee Action
1012,Mental Assault,Attacks; Basic Attacks; Focus; Make; my(status)Focus; Scholar
1013,Mesmerize,Charmed; damageBonus; Inflict
1014,Meteor Storm,Burning; Bury; Channel; Foretold; Free; Turn
1015,Mind,Focus; Gain INT
1016,Mind Expansion,Increase; Maximum Handsize
1017,Mind Nova,Nova; novacards; Repeat
1018,Mind Palace,Focus; INT; Psionic
1019,Mindblast,Focus
1020,Mindlash,Companion; Dazed; Inflict
1021,Mindsight,Gain Focus; INT
1022,Mindstrike,Basic Attacks; Focus
1023,Mojo,Perform; Soul; Souls; Use
1024,Molten Fury,Double; Frenzy; Temporary; Upgrade
1025,Monolith,Dazed Rampage; Inflict; Interrupt; On Hit; Untempered
1026,Moonclaws,Swaps
1027,Moondancing,Darkness
1028,Moonwell,Add; Foretell; HEALTH; Moonwell
1029,Move to Tears,Bleeding; other(status)Bleeding; Perform; Persistent
1030,Multishot,Arrow; Evasion
1031,Muscle Memory,Frenzy; Gain STR; Melee Action; STR
1032,Mystic Assault,Basic Attack; Enchantment; Make; myEnchantments; Repeat
1033,Mystic Contract,Execute
1034,Myth of Gura,Charges; differentCostCards; Perform
1035,Naval Warfare (Ebb),Persistent; Repeat; roundNumber
1036,Naval Warfare (Flow),NEUTRAL; Persistent; tempValue+10; Tidal
1037,Night Whispers,Dominated; HEALTH; Otherwise; Sleeping; Subjugate
1038,Night's Demise,Darkness; Execute; Increase; permaValue
1039,No Mercy,HEALTH; Maximum Health; Slay
1040,No Soup,Anger; Charges; cooking; Cooking; Repeat
1041,Nope!,Nope; Only; Reduce
1042,Not Dead Yet,Aspect; HEALTH; On Death; Overkill; Resurrect; Vengeance
1043,Oath of Blood,Anger; If HOLY; Oathbound
1044,Oath of Fire,If HOLY; Oathbound; Rally
1045,Oathbound,HEALTH; HOLY; Scar
1046,Oathbreaker,Add; Ambush; Blood Taxes; Code; Inflict Bleeding; oathsbroken
1047,Oblivion,Consumes; Focus; Slay
1048,Observe,Foretell; foretell+3
1049,Obsession,Gain Zeal
1050,Occult Secrets,Cursed; Hex; Inflict
1051,Occultism,BLOOD; Memorized; Momentum; Potency
1052,Offer of Doom,Slain
1053,Old Grievances,Anger; Corrupted; Gain Anger
1054,On my Command,Basic Attack; Charges; Make
1055,Ooooh Shiny,Charmed; Conjure; Jinxed
1056,Opulence,Revelations
1057,Oracle's Pendant,Conjurations; Focus
1058,Orb of Fire,Attune; Burning; Fire; Inflict
1059,Orb of Frost,Attune; Frost; Frozen; Inflict
1060,Orb of Thunder,Attune; Chain; Lightning
1061,Orphic Glance,Bury; Swap
1062,Overdraft,BLOOD; Convert
1063,Overmind,cardsInHand; Discard Phase; End; HEALTH; Lose; Maximum Handsize; Turn
1064,Overwatch,Armor; Stagger
1065,Pacified,Magic; Melee; Ranged
1066,Pacifism,Impervious
1067,Painful Inquiry,BLOOD; Vile Wound
1068,Painful Memories,Anger; Discard Pile
1069,Panacea,Affliction; Cleanse; HEALTH; One Use
1070,Panzer,Activate; Armor; damageTaken; Durability
1071,Parrot Familiar,Activate; Deplete; DEX; Durability; Gain GOLD; Surge
1072,Parrot Listener,Copy
1073,Passing of Time,Conjure; Foretell; foretell+3; Memorized
1074,Patience,
1075,Pay Out,GOLD; sinister; Sinister
1076,Peace Offering,Charmed; Inflict; Magic; Melee; Ranged; Repeat
1077,Permafrost,Frozen
1078,Permeating Cold,Frozen
1079,Persecution,Basic Attack; Code; Make
1080,Perseverance,Affliction; Afflictions; Gain HOLY
1081,Pestilent Decree,chapter; Decay; Forbidden Name; Forbidden Names
1082,Phantom Volley,Arrow; Conjure
1083,Phase (Companion),Advantage; Grant Evasion
1084,Philosophers Stone,Charges; Conjure; Scholar
1085,Phylactery Visor,Armor; Bane; Corrupted; Hexglaive; Inflict; Transform
1086,Pickpocket,Ambush; Charges; Delve; GOLD; On Hit; Potion
1087,Piece of Eight,Change; Channel; Conjure; Lucky Coin; Tide
