card_number,card_name,source_id,character,type,rarity,keywords_on_card,okf_path
246,Prepared,PREPARED,silent,Skill,Common,Discard; Draw,cards/0246-prepared-prepared.okf.md
247,Pressure Points,PATHTOVICTORY,watcher,Skill,Common,,cards/0247-pressure-points-pathtovictory.okf.md
248,Pride,PRIDE,curse,Curse,Special,draw; Exhaust; Innate,cards/0248-pride-pride.okf.md
249,Prostrate,PROSTRATE,watcher,Skill,Common,Block,cards/0249-prostrate-prostrate.okf.md
250,Protect,PROTECT,watcher,Skill,Common,Block; Retain,cards/0250-protect-protect.okf.md
251,Pummel,PUMMEL,ironclad,Attack,Uncommon,Exhaust,cards/0251-pummel-pummel.okf.md
252,Purity,PURITY,colorless,Skill,Uncommon,Exhaust,cards/0252-purity-purity.okf.md
253,Quick Slash,QUICK_SLASH,silent,Attack,Common,Draw,cards/0253-quick-slash-quick_slash.okf.md
254,Rage,RAGE,ironclad,Skill,Uncommon,Block,cards/0254-rage-rage.okf.md
255,Ragnarok,RAGNAROK,watcher,Attack,Rare,,cards/0255-ragnarok-ragnarok.okf.md
256,Rainbow,RAINBOW,defect,Skill,Rare,Channel; Dark; Exhaust; Frost; Lightning,cards/0256-rainbow-rainbow.okf.md
257,Rampage,RAMPAGE,ironclad,Attack,Uncommon,,cards/0257-rampage-rampage.okf.md
258,Reach Heaven,REACHHEAVEN,watcher,Attack,Uncommon,draw,cards/0258-reach-heaven-reachheaven.okf.md
259,Reaper,REAPER,ironclad,Attack,Rare,Exhaust,cards/0259-reaper-reaper.okf.md
260,Reboot,REBOOT,defect,Skill,Rare,draw; Draw; Exhaust,cards/0260-reboot-reboot.okf.md
261,Rebound,REBOUND,defect,Attack,Common,draw,cards/0261-rebound-rebound.okf.md
262,Reckless Charge,RECKLESS_CHARGE,ironclad,Attack,Uncommon,Dazed; draw,cards/0262-reckless-charge-reckless_charge.okf.md
263,Recursion,REDO,defect,Skill,Common,Channel; Evoke; Orb,cards/0263-recursion-redo.okf.md
264,Recycle,RECYCLE,defect,Skill,Uncommon,Exhaust,cards/0264-recycle-recycle.okf.md
265,Reflex,REFLEX,silent,Skill,Uncommon,draw; Unplayable,cards/0265-reflex-reflex.okf.md
266,Regret,REGRET,curse,Curse,Curse,Unplayable,cards/0266-regret-regret.okf.md
267,Reinforced Body,REINFORCED_BODY,defect,Skill,Uncommon,Block,cards/0267-reinforced-body-reinforced_body.okf.md
268,Reprogram,REPROGRAM,defect,Skill,Uncommon,Dexterity; Focus; Strength,cards/0268-reprogram-reprogram.okf.md
269,Riddle with Holes,RIDDLE_WITH_HOLES,silent,Attack,Uncommon,,cards/0269-riddle-with-holes-riddle_with_holes.okf.md
270,Rip and Tear,RIP_AND_TEAR,defect,Attack,Uncommon,,cards/0270-rip-and-tear-rip_and_tear.okf.md
271,Ritual Dagger,RITUALDAGGER,colorless,Attack,Special,Exhaust,cards/0271-ritual-dagger-ritualdagger.okf.md
272,Rupture,RUPTURE,ironclad,Power,Uncommon,Strength,cards/0272-rupture-rupture.okf.md
273,Rushdown,ADAPTATION,watcher,Power,Uncommon,draw; Wrath,cards/0273-rushdown-adaptation.okf.md
274,Sadistic Nature,SADISTIC_NATURE,colorless,Power,Rare,,cards/0274-sadistic-nature-sadistic_nature.okf.md
275,Sanctity,SANCTITY,watcher,Skill,Uncommon,Block; draw,cards/0275-sanctity-sanctity.okf.md
276,Sands of Time,SANDSOFTIME,watcher,Attack,Uncommon,Retain,cards/0276-sands-of-time-sandsoftime.okf.md
277,Sash Whip,SASHWHIP,watcher,Attack,Common,Weak,cards/0277-sash-whip-sashwhip.okf.md
278,Scrape,SCRAPE,defect,Attack,Uncommon,Discard; Draw,cards/0278-scrape-scrape.okf.md
279,Scrawl,SCRAWL,watcher,Skill,Rare,Draw; Exhaust,cards/0279-scrawl-scrawl.okf.md
280,Searing Blow,SEARING_BLOW,ironclad,Attack,Uncommon,,cards/0280-searing-blow-searing_blow.okf.md
281,Second Wind,SECOND_WIND,ironclad,Skill,Uncommon,Block; Exhaust,cards/0281-second-wind-second_wind.okf.md
282,Secret Technique,SECRET_TECHNIQUE,colorless,Skill,Rare,draw; Exhaust,cards/0282-secret-technique-secret_technique.okf.md
283,Secret Weapon,SECRET_WEAPON,colorless,Skill,Rare,draw; Exhaust,cards/0283-secret-weapon-secret_weapon.okf.md
284,Seeing Red,SEEING_RED,ironclad,Skill,Uncommon,Exhaust,cards/0284-seeing-red-seeing_red.okf.md
285,Seek,SEEK,defect,Skill,Rare,draw; Exhaust,cards/0285-seek-seek.okf.md
286,Self Repair,SELF_REPAIR,defect,Power,Uncommon,,cards/0286-self-repair-self_repair.okf.md
287,Sentinel,SENTINEL,ironclad,Skill,Uncommon,Block,cards/0287-sentinel-sentinel.okf.md
288,Setup,SETUP,silent,Skill,Uncommon,draw,cards/0288-setup-setup.okf.md
289,Sever Soul,SEVER_SOUL,ironclad,Attack,Uncommon,Exhaust,cards/0289-sever-soul-sever_soul.okf.md
290,Shame,SHAME,curse,Curse,Curse,Frail; Unplayable,cards/0290-shame-shame.okf.md
291,Shockwave,SHOCKWAVE,ironclad,Skill,Uncommon,Exhaust; Vulnerable; Weak,cards/0291-shockwave-shockwave.okf.md
292,Shrug It Off,SHRUG_IT_OFF,ironclad,Skill,Common,Block; Draw,cards/0292-shrug-it-off-shrug_it_off.okf.md
293,Signature Move,SIGNATUREMOVE,watcher,Attack,Uncommon,,cards/0293-signature-move-signaturemove.okf.md
294,Simmering Fury,VENGEANCE,watcher,Skill,Uncommon,draw; Wrath,cards/0294-simmering-fury-vengeance.okf.md
295,Skewer,SKEWER,silent,Attack,Uncommon,,cards/0295-skewer-skewer.okf.md
296,Skim,SKIM,defect,Skill,Uncommon,Draw,cards/0296-skim-skim.okf.md
297,Slice,SLICE,silent,Attack,Common,,cards/0297-slice-slice.okf.md
298,Slimed,SLIMED,colorless,Status,Common,Exhaust,cards/0298-slimed-slimed.okf.md
299,Sneaky Strike,UNDERHANDED_STRIKE,silent,Attack,Common,,cards/0299-sneaky-strike-underhanded_strike.okf.md
300,Spirit Shield,SPIRITSHIELD,watcher,Skill,Rare,Block,cards/0300-spirit-shield-spiritshield.okf.md
301,Spot Weakness,SPOT_WEAKNESS,ironclad,Skill,Uncommon,Strength,cards/0301-spot-weakness-spot_weakness.okf.md
302,Stack,STACK,defect,Skill,Common,Block; discard,cards/0302-stack-stack.okf.md
303,Static Discharge,STATIC_DISCHARGE,defect,Power,Uncommon,Channel; Lightning,cards/0303-static-discharge-static_discharge.okf.md
304,Steam Barrier,STEAM,defect,Skill,Common,Block,cards/0304-steam-barrier-steam.okf.md
305,Storm,STORM,defect,Power,Uncommon,Channel; Innate; Lightning,cards/0305-storm-storm.okf.md
306,Storm of Steel,STORM_OF_STEEL,silent,Skill,Rare,Discard; Shiv,cards/0306-storm-of-steel-storm_of_steel.okf.md
307,Streamline,STREAMLINE,defect,Attack,Common,,cards/0307-streamline-streamline.okf.md
308,Strike,STRIKE_B,defect,Attack,Basic,,cards/0308-strike-strike_b.okf.md
309,Strike,STRIKE_G,silent,Attack,Basic,,cards/0309-strike-strike_g.okf.md
310,Strike,STRIKE_P,watcher,Attack,Basic,,cards/0310-strike-strike_p.okf.md
311,Strike,STRIKE_R,ironclad,Attack,Basic,,cards/0311-strike-strike_r.okf.md
312,Study,STUDY,watcher,Power,Uncommon,draw,cards/0312-study-study.okf.md
313,Sucker Punch,SUCKER_PUNCH,silent,Attack,Common,Weak,cards/0313-sucker-punch-sucker_punch.okf.md
314,Sunder,SUNDER,defect,Attack,Uncommon,,cards/0314-sunder-sunder.okf.md
315,Survivor,SURVIVOR,silent,Skill,Basic,Block; Discard,cards/0315-survivor-survivor.okf.md
316,Sweeping Beam,SWEEPING_BEAM,defect,Attack,Common,Draw,cards/0316-sweeping-beam-sweeping_beam.okf.md
317,Swift Strike,SWIFT_STRIKE,colorless,Attack,Uncommon,,cards/0317-swift-strike-swift_strike.okf.md
318,Swivel,SWIVEL,watcher,Skill,Uncommon,Block,cards/0318-swivel-swivel.okf.md
319,Sword Boomerang,SWORD_BOOMERANG,ironclad,Attack,Common,,cards/0319-sword-boomerang-sword_boomerang.okf.md
320,Tactician,TACTICIAN,silent,Skill,Uncommon,Unplayable,cards/0320-tactician-tactician.okf.md
321,Talk to the Hand,TALKTOTHEHAND,watcher,Attack,Uncommon,Block; Exhaust,cards/0321-talk-to-the-hand-talktothehand.okf.md
322,Tantrum,TANTRUM,watcher,Attack,Uncommon,draw; Wrath,cards/0322-tantrum-tantrum.okf.md
323,Tempest,TEMPEST,defect,Skill,Uncommon,Channel; Exhaust; Lightning,cards/0323-tempest-tempest.okf.md
324,Terror,TERROR,silent,Skill,Uncommon,Exhaust; Vulnerable,cards/0324-terror-terror.okf.md
325,The Bomb,THE_BOMB,colorless,Skill,Rare,,cards/0325-the-bomb-the_bomb.okf.md
326,Thinking Ahead,THINKING_AHEAD,colorless,Skill,Rare,Draw; draw; Exhaust,cards/0326-thinking-ahead-thinking_ahead.okf.md
327,Third Eye,THIRDEYE,watcher,Skill,Common,Block; Scry,cards/0327-third-eye-thirdeye.okf.md
328,Thunder Strike,THUNDER_STRIKE,defect,Attack,Rare,Lightning,cards/0328-thunder-strike-thunder_strike.okf.md
329,Thunderclap,THUNDERCLAP,ironclad,Attack,Common,Vulnerable,cards/0329-thunderclap-thunderclap.okf.md
330,Tools of the Trade,TOOLS_OF_THE_TRADE,silent,Power,Rare,discard; draw,cards/0330-tools-of-the-trade-tools_of_the_trade.okf.md
331,Tranquility,CLEARTHEMIND,watcher,Skill,Common,Calm; Exhaust; Retain,cards/0331-tranquility-clearthemind.okf.md
332,Transmutation,TRANSMUTATION,colorless,Skill,Rare,Exhaust,cards/0332-transmutation-transmutation.okf.md
333,Trip,TRIP,colorless,Skill,Uncommon,Vulnerable,cards/0333-trip-trip.okf.md
334,True Grit,TRUE_GRIT,ironclad,Skill,Common,Block; Exhaust,cards/0334-true-grit-true_grit.okf.md
335,TURBO,TURBO,defect,Skill,Common,discard,cards/0335-turbo-turbo.okf.md
336,Twin Strike,TWIN_STRIKE,ironclad,Attack,Common,,cards/0336-twin-strike-twin_strike.okf.md
337,Unload,UNLOAD,silent,Attack,Rare,Discard,cards/0337-unload-unload.okf.md
338,Unraveling,UNRAVELING,watcher,Skill,Rare,Exhaust,cards/0338-unraveling-unraveling.okf.md
339,Uppercut,UPPERCUT,ironclad,Attack,Uncommon,Vulnerable; Weak,cards/0339-uppercut-uppercut.okf.md
340,Vault,VAULT,watcher,Skill,Rare,Exhaust,cards/0340-vault-vault.okf.md
341,Vigilance,VIGILANCE,watcher,Skill,Basic,Block; Calm,cards/0341-vigilance-vigilance.okf.md
342,Violence,VIOLENCE,colorless,Skill,Rare,draw; Exhaust,cards/0342-violence-violence.okf.md
343,Void,VOID,colorless,Status,Common,Ethereal; Unplayable,cards/0343-void-void.okf.md
344,Wallop,WALLOP,watcher,Attack,Uncommon,Block,cards/0344-wallop-wallop.okf.md
345,Warcry,WARCRY,ironclad,Skill,Common,Draw; draw; Exhaust,cards/0345-warcry-warcry.okf.md
346,Wave of the Hand,WAVEOFTHEHAND,watcher,Skill,Uncommon,Block; Weak,cards/0346-wave-of-the-hand-waveofthehand.okf.md
347,Weave,WEAVE,watcher,Attack,Uncommon,discard; Scry,cards/0347-weave-weave.okf.md
348,Well-Laid Plans,WELL_LAID_PLANS,silent,Power,Uncommon,Retain,cards/0348-well-laid-plans-well_laid_plans.okf.md
349,Wheel Kick,WHEELKICK,watcher,Attack,Uncommon,Draw,cards/0349-wheel-kick-wheelkick.okf.md
350,Whirlwind,WHIRLWIND,ironclad,Attack,Uncommon,,cards/0350-whirlwind-whirlwind.okf.md
351,White Noise,WHITE_NOISE,defect,Skill,Uncommon,Exhaust,cards/0351-white-noise-white_noise.okf.md
352,Wild Strike,WILD_STRIKE,ironclad,Attack,Common,draw; Wound,cards/0352-wild-strike-wild_strike.okf.md
353,Windmill Strike,WINDMILLSTRIKE,watcher,Attack,Uncommon,Retain,cards/0353-windmill-strike-windmillstrike.okf.md
354,Wish,WISH,watcher,Skill,Rare,Exhaust; Strength,cards/0354-wish-wish.okf.md
355,Worship,WORSHIP,watcher,Skill,Uncommon,Retain,cards/0355-worship-worship.okf.md
356,Wound,WOUND,colorless,Status,Common,Unplayable,cards/0356-wound-wound.okf.md
357,Wraith Form,WRAITH_FORM_V2,silent,Power,Rare,Dexterity,cards/0357-wraith-form-wraith_form_v2.okf.md
358,Wreath of Flame,WREATHOFFLAME,watcher,Skill,Uncommon,,cards/0358-wreath-of-flame-wreathofflame.okf.md
359,Writhe,WRITHE,curse,Curse,Curse,Innate; Unplayable,cards/0359-writhe-writhe.okf.md
360,Zap,ZAP,defect,Skill,Basic,Channel; Lightning,cards/0360-zap-zap.okf.md
