ordinal,source_id,name,slug,character,color,rarity,type,cost,upgrade_cost,observed_terms,okf_path
202,LESSONLEARNED,Lesson Learned,lesson-learned,watcher,watcher,Rare,Attack,2,,Exhaust; Upgrade,cards/0202-lesson-learned-lessonlearned.okf.md
203,LIKEWATER,Like Water,like-water,watcher,watcher,Uncommon,Power,1,,Block; Calm,cards/0203-like-water-likewater.okf.md
204,LIMIT_BREAK,Limit Break,limit-break,ironclad,ironclad,Rare,Skill,1,,Exhaust; Strength,cards/0204-limit-break-limit_break.okf.md
205,LOOP,Loop,loop,defect,defect,Uncommon,Power,1,,Orb,cards/0205-loop-loop.okf.md
206,MACHINE_LEARNING,Machine Learning,machine-learning,defect,defect,Rare,Power,1,,draw; Innate,cards/0206-machine-learning-machine_learning.okf.md
207,MADNESS,Madness,madness,colorless,colorless,Uncommon,Skill,1,0,Exhaust,cards/0207-madness-madness.okf.md
208,MAGNETISM,Magnetism,magnetism,colorless,colorless,Rare,Power,2,1,,cards/0208-magnetism-magnetism.okf.md
209,MALAISE,Malaise,malaise,silent,silent,Rare,Skill,-1,,Exhaust; Strength; Weak,cards/0209-malaise-malaise.okf.md
210,MASTER_OF_STRATEGY,Master of Strategy,master-of-strategy,colorless,colorless,Rare,Skill,0,,Draw; Exhaust,cards/0210-master-of-strategy-master_of_strategy.okf.md
211,MASTERREALITY,Master Reality,master-reality,watcher,watcher,Rare,Power,1,0,Upgrade,cards/0211-master-reality-masterreality.okf.md
212,MASTERFUL_STAB,Masterful Stab,masterful-stab,silent,silent,Uncommon,Attack,0,,,cards/0212-masterful-stab-masterful_stab.okf.md
213,MAYHEM,Mayhem,mayhem,colorless,colorless,Rare,Power,2,1,draw,cards/0213-mayhem-mayhem.okf.md
214,MEDITATE,Meditate,meditate,watcher,watcher,Uncommon,Skill,1,,Calm; discard; Retain,cards/0214-meditate-meditate.okf.md
215,MELTER,Melter,melter,defect,defect,Uncommon,Attack,1,,Block,cards/0215-melter-melter.okf.md
216,MENTALFORTRESS,Mental Fortress,mental-fortress,watcher,watcher,Uncommon,Power,1,,Block,cards/0216-mental-fortress-mentalfortress.okf.md
217,METALLICIZE,Metallicize,metallicize,ironclad,ironclad,Uncommon,Power,1,,Block,cards/0217-metallicize-metallicize.okf.md
218,METAMORPHOSIS,Metamorphosis,metamorphosis,colorless,colorless,Rare,Skill,2,,draw; Exhaust,cards/0218-metamorphosis-metamorphosis.okf.md
219,METEOR_STRIKE,Meteor Strike,meteor-strike,defect,defect,Rare,Attack,5,,Channel,cards/0219-meteor-strike-meteor_strike.okf.md
220,MIND_BLAST,Mind Blast,mind-blast,colorless,colorless,Uncommon,Attack,2,1,draw; Innate,cards/0220-mind-blast-mind_blast.okf.md
221,MULTI_CAST,Multi-Cast,multi-cast,defect,defect,Rare,Skill,-1,,Evoke; Orb,cards/0221-multi-cast-multi_cast.okf.md
222,NECRONOMICURSE,Necronomicurse,necronomicurse,curse,curse,Special,Curse,-2,,Unplayable,cards/0222-necronomicurse-necronomicurse.okf.md
223,NEUTRALIZE,Neutralize,neutralize,silent,silent,Basic,Attack,0,,Weak,cards/0223-neutralize-neutralize.okf.md
224,NIGHT_TERROR,Nightmare,nightmare,silent,silent,Rare,Skill,3,2,Exhaust,cards/0224-nightmare-night_terror.okf.md
225,NIRVANA,Nirvana,nirvana,watcher,watcher,Uncommon,Power,1,,Block; Scry,cards/0225-nirvana-nirvana.okf.md
226,NORMALITY,Normality,normality,curse,curse,Curse,Curse,-2,,Unplayable,cards/0226-normality-normality.okf.md
227,NOXIOUS_FUMES,Noxious Fumes,noxious-fumes,silent,silent,Uncommon,Power,1,,Poison,cards/0227-noxious-fumes-noxious_fumes.okf.md
228,OFFERING,Offering,offering,ironclad,ironclad,Rare,Skill,0,,Draw; Exhaust,cards/0228-offering-offering.okf.md
229,OMNISCIENCE,Omniscience,omniscience,watcher,watcher,Rare,Skill,4,3,draw; exhaust; Exhaust,cards/0229-omniscience-omniscience.okf.md
230,OUTMANEUVER,Outmaneuver,outmaneuver,silent,silent,Common,Skill,1,,,cards/0230-outmaneuver-outmaneuver.okf.md
231,STEAM_POWER,Overclock,overclock,defect,defect,Uncommon,Skill,0,,Burn; discard; Draw,cards/0231-overclock-steam_power.okf.md
232,PAIN,Pain,pain,curse,curse,Curse,Curse,-2,,Unplayable,cards/0232-pain-pain.okf.md
233,PANACEA,Panacea,panacea,colorless,colorless,Uncommon,Skill,0,,Exhaust,cards/0233-panacea-panacea.okf.md
234,PANACHE,Panache,panache,colorless,colorless,Rare,Power,0,,,cards/0234-panache-panache.okf.md
235,PANICBUTTON,Panic Button,panic-button,colorless,colorless,Uncommon,Skill,0,,Block; Exhaust,cards/0235-panic-button-panicbutton.okf.md
236,PARASITE,Parasite,parasite,curse,curse,Curse,Curse,-2,,Unplayable,cards/0236-parasite-parasite.okf.md
237,PERFECTED_STRIKE,Perfected Strike,perfected-strike,ironclad,ironclad,Common,Attack,2,,,cards/0237-perfected-strike-perfected_strike.okf.md
238,PERSEVERANCE,Perseverance,perseverance,watcher,watcher,Uncommon,Skill,1,,Block; Retain,cards/0238-perseverance-perseverance.okf.md
239,PHANTASMAL_KILLER,Phantasmal Killer,phantasmal-killer,silent,silent,Rare,Skill,1,0,,cards/0239-phantasmal-killer-phantasmal_killer.okf.md
240,PIERCINGWAIL,Piercing Wail,piercing-wail,silent,silent,Common,Skill,1,,Exhaust; Strength,cards/0240-piercing-wail-piercingwail.okf.md
241,POISONED_STAB,Poisoned Stab,poisoned-stab,silent,silent,Common,Attack,1,,Poison,cards/0241-poisoned-stab-poisoned_stab.okf.md
242,POMMEL_STRIKE,Pommel Strike,pommel-strike,ironclad,ironclad,Common,Attack,1,,Draw,cards/0242-pommel-strike-pommel_strike.okf.md
243,POWER_THROUGH,Power Through,power-through,ironclad,ironclad,Uncommon,Skill,1,,Block,cards/0243-power-through-power_through.okf.md
244,PRAY,Pray,pray,watcher,watcher,Uncommon,Skill,1,,draw,cards/0244-pray-pray.okf.md
245,PREDATOR,Predator,predator,silent,silent,Uncommon,Attack,2,,draw,cards/0245-predator-predator.okf.md
246,PREPARED,Prepared,prepared,silent,silent,Common,Skill,0,,Discard; Draw,cards/0246-prepared-prepared.okf.md
247,PATHTOVICTORY,Pressure Points,pressure-points,watcher,watcher,Common,Skill,1,,,cards/0247-pressure-points-pathtovictory.okf.md
248,PRIDE,Pride,pride,curse,curse,Special,Curse,1,,draw; Exhaust; Innate,cards/0248-pride-pride.okf.md
249,PROSTRATE,Prostrate,prostrate,watcher,watcher,Common,Skill,0,,Block,cards/0249-prostrate-prostrate.okf.md
250,PROTECT,Protect,protect,watcher,watcher,Common,Skill,2,,Block; Retain,cards/0250-protect-protect.okf.md
251,PUMMEL,Pummel,pummel,ironclad,ironclad,Uncommon,Attack,1,,Exhaust,cards/0251-pummel-pummel.okf.md
252,PURITY,Purity,purity,colorless,colorless,Uncommon,Skill,0,,Exhaust,cards/0252-purity-purity.okf.md
253,QUICK_SLASH,Quick Slash,quick-slash,silent,silent,Common,Attack,1,,Draw,cards/0253-quick-slash-quick_slash.okf.md
254,RAGE,Rage,rage,ironclad,ironclad,Uncommon,Skill,0,,Block,cards/0254-rage-rage.okf.md
255,RAGNAROK,Ragnarok,ragnarok,watcher,watcher,Rare,Attack,3,,,cards/0255-ragnarok-ragnarok.okf.md
256,RAINBOW,Rainbow,rainbow,defect,defect,Rare,Skill,2,,Channel; Dark; Exhaust; Frost; Lightning,cards/0256-rainbow-rainbow.okf.md
257,RAMPAGE,Rampage,rampage,ironclad,ironclad,Uncommon,Attack,1,,,cards/0257-rampage-rampage.okf.md
258,REACHHEAVEN,Reach Heaven,reach-heaven,watcher,watcher,Uncommon,Attack,2,,draw,cards/0258-reach-heaven-reachheaven.okf.md
259,REAPER,Reaper,reaper,ironclad,ironclad,Rare,Attack,2,,Exhaust,cards/0259-reaper-reaper.okf.md
260,REBOOT,Reboot,reboot,defect,defect,Rare,Skill,0,,draw; Draw; Exhaust,cards/0260-reboot-reboot.okf.md
261,REBOUND,Rebound,rebound,defect,defect,Common,Attack,1,,draw,cards/0261-rebound-rebound.okf.md
262,RECKLESS_CHARGE,Reckless Charge,reckless-charge,ironclad,ironclad,Uncommon,Attack,0,,Dazed; draw,cards/0262-reckless-charge-reckless_charge.okf.md
263,REDO,Recursion,recursion,defect,defect,Common,Skill,1,0,Channel; Evoke; Orb,cards/0263-recursion-redo.okf.md
264,RECYCLE,Recycle,recycle,defect,defect,Uncommon,Skill,1,0,Exhaust,cards/0264-recycle-recycle.okf.md
265,REFLEX,Reflex,reflex,silent,silent,Uncommon,Skill,-2,,draw; Unplayable,cards/0265-reflex-reflex.okf.md
266,REGRET,Regret,regret,curse,curse,Curse,Curse,-2,,Unplayable,cards/0266-regret-regret.okf.md
267,REINFORCED_BODY,Reinforced Body,reinforced-body,defect,defect,Uncommon,Skill,-1,,Block,cards/0267-reinforced-body-reinforced_body.okf.md
268,REPROGRAM,Reprogram,reprogram,defect,defect,Uncommon,Skill,1,,Dexterity; Focus; Strength,cards/0268-reprogram-reprogram.okf.md
269,RIDDLE_WITH_HOLES,Riddle with Holes,riddle-with-holes,silent,silent,Uncommon,Attack,2,,,cards/0269-riddle-with-holes-riddle_with_holes.okf.md
270,RIP_AND_TEAR,Rip and Tear,rip-and-tear,defect,defect,Uncommon,Attack,1,,,cards/0270-rip-and-tear-rip_and_tear.okf.md
271,RITUALDAGGER,Ritual Dagger,ritual-dagger,colorless,colorless,Special,Attack,1,,Exhaust,cards/0271-ritual-dagger-ritualdagger.okf.md
272,RUPTURE,Rupture,rupture,ironclad,ironclad,Uncommon,Power,1,,Strength,cards/0272-rupture-rupture.okf.md
273,ADAPTATION,Rushdown,rushdown,watcher,watcher,Uncommon,Power,1,0,draw; Wrath,cards/0273-rushdown-adaptation.okf.md
274,SADISTIC_NATURE,Sadistic Nature,sadistic-nature,colorless,colorless,Rare,Power,0,,,cards/0274-sadistic-nature-sadistic_nature.okf.md
275,SANCTITY,Sanctity,sanctity,watcher,watcher,Uncommon,Skill,1,,Block; draw,cards/0275-sanctity-sanctity.okf.md
276,SANDSOFTIME,Sands of Time,sands-of-time,watcher,watcher,Uncommon,Attack,4,,Retain,cards/0276-sands-of-time-sandsoftime.okf.md
277,SASHWHIP,Sash Whip,sash-whip,watcher,watcher,Common,Attack,1,,Weak,cards/0277-sash-whip-sashwhip.okf.md
278,SCRAPE,Scrape,scrape,defect,defect,Uncommon,Attack,1,,Discard; Draw,cards/0278-scrape-scrape.okf.md
279,SCRAWL,Scrawl,scrawl,watcher,watcher,Rare,Skill,1,0,Draw; Exhaust,cards/0279-scrawl-scrawl.okf.md
280,SEARING_BLOW,Searing Blow,searing-blow,ironclad,ironclad,Uncommon,Attack,2,,,cards/0280-searing-blow-searing_blow.okf.md
281,SECOND_WIND,Second Wind,second-wind,ironclad,ironclad,Uncommon,Skill,1,,Block; Exhaust,cards/0281-second-wind-second_wind.okf.md
282,SECRET_TECHNIQUE,Secret Technique,secret-technique,colorless,colorless,Rare,Skill,0,,draw; Exhaust,cards/0282-secret-technique-secret_technique.okf.md
283,SECRET_WEAPON,Secret Weapon,secret-weapon,colorless,colorless,Rare,Skill,0,,draw; Exhaust,cards/0283-secret-weapon-secret_weapon.okf.md
284,SEEING_RED,Seeing Red,seeing-red,ironclad,ironclad,Uncommon,Skill,1,0,Exhaust,cards/0284-seeing-red-seeing_red.okf.md
285,SEEK,Seek,seek,defect,defect,Rare,Skill,0,,draw; Exhaust,cards/0285-seek-seek.okf.md
286,SELF_REPAIR,Self Repair,self-repair,defect,defect,Uncommon,Power,1,,,cards/0286-self-repair-self_repair.okf.md
287,SENTINEL,Sentinel,sentinel,ironclad,ironclad,Uncommon,Skill,1,,Block,cards/0287-sentinel-sentinel.okf.md
288,SETUP,Setup,setup,silent,silent,Uncommon,Skill,1,0,draw,cards/0288-setup-setup.okf.md
289,SEVER_SOUL,Sever Soul,sever-soul,ironclad,ironclad,Uncommon,Attack,2,,Exhaust,cards/0289-sever-soul-sever_soul.okf.md
290,SHAME,Shame,shame,curse,curse,Curse,Curse,-2,,Frail; Unplayable,cards/0290-shame-shame.okf.md
291,SHOCKWAVE,Shockwave,shockwave,ironclad,ironclad,Uncommon,Skill,2,,Exhaust; Vulnerable; Weak,cards/0291-shockwave-shockwave.okf.md
292,SHRUG_IT_OFF,Shrug It Off,shrug-it-off,ironclad,ironclad,Common,Skill,1,,Block; Draw,cards/0292-shrug-it-off-shrug_it_off.okf.md
293,SIGNATUREMOVE,Signature Move,signature-move,watcher,watcher,Uncommon,Attack,2,,,cards/0293-signature-move-signaturemove.okf.md
294,VENGEANCE,Simmering Fury,simmering-fury,watcher,watcher,Uncommon,Skill,1,,draw; Wrath,cards/0294-simmering-fury-vengeance.okf.md
295,SKEWER,Skewer,skewer,silent,silent,Uncommon,Attack,-1,,,cards/0295-skewer-skewer.okf.md
296,SKIM,Skim,skim,defect,defect,Uncommon,Skill,1,,Draw,cards/0296-skim-skim.okf.md
297,SLICE,Slice,slice,silent,silent,Common,Attack,0,,,cards/0297-slice-slice.okf.md
298,SLIMED,Slimed,slimed,colorless,colorless,Common,Status,1,,Exhaust,cards/0298-slimed-slimed.okf.md
299,UNDERHANDED_STRIKE,Sneaky Strike,sneaky-strike,silent,silent,Common,Attack,2,,,cards/0299-sneaky-strike-underhanded_strike.okf.md
300,SPIRITSHIELD,Spirit Shield,spirit-shield,watcher,watcher,Rare,Skill,2,,Block,cards/0300-spirit-shield-spiritshield.okf.md
301,SPOT_WEAKNESS,Spot Weakness,spot-weakness,ironclad,ironclad,Uncommon,Skill,1,,Strength,cards/0301-spot-weakness-spot_weakness.okf.md
302,STACK,Stack,stack,defect,defect,Common,Skill,1,,Block; discard,cards/0302-stack-stack.okf.md
303,STATIC_DISCHARGE,Static Discharge,static-discharge,defect,defect,Uncommon,Power,1,,Channel; Lightning,cards/0303-static-discharge-static_discharge.okf.md
304,STEAM,Steam Barrier,steam-barrier,defect,defect,Common,Skill,0,,Block,cards/0304-steam-barrier-steam.okf.md
305,STORM,Storm,storm,defect,defect,Uncommon,Power,1,,Channel; Innate; Lightning,cards/0305-storm-storm.okf.md
306,STORM_OF_STEEL,Storm of Steel,storm-of-steel,silent,silent,Rare,Skill,1,,Discard; Shiv,cards/0306-storm-of-steel-storm_of_steel.okf.md
307,STREAMLINE,Streamline,streamline,defect,defect,Common,Attack,2,,,cards/0307-streamline-streamline.okf.md
308,STRIKE_B,Strike,strike,defect,defect,Basic,Attack,1,,,cards/0308-strike-strike_b.okf.md
309,STRIKE_G,Strike,strike,silent,silent,Basic,Attack,1,,,cards/0309-strike-strike_g.okf.md
310,STRIKE_P,Strike,strike,watcher,watcher,Basic,Attack,1,,,cards/0310-strike-strike_p.okf.md
311,STRIKE_R,Strike,strike,ironclad,ironclad,Basic,Attack,1,,,cards/0311-strike-strike_r.okf.md
312,STUDY,Study,study,watcher,watcher,Uncommon,Power,2,1,draw,cards/0312-study-study.okf.md
313,SUCKER_PUNCH,Sucker Punch,sucker-punch,silent,silent,Common,Attack,1,,Weak,cards/0313-sucker-punch-sucker_punch.okf.md
314,SUNDER,Sunder,sunder,defect,defect,Uncommon,Attack,3,,,cards/0314-sunder-sunder.okf.md
315,SURVIVOR,Survivor,survivor,silent,silent,Basic,Skill,1,,Block; Discard,cards/0315-survivor-survivor.okf.md
316,SWEEPING_BEAM,Sweeping Beam,sweeping-beam,defect,defect,Common,Attack,1,,Draw,cards/0316-sweeping-beam-sweeping_beam.okf.md
317,SWIFT_STRIKE,Swift Strike,swift-strike,colorless,colorless,Uncommon,Attack,0,,,cards/0317-swift-strike-swift_strike.okf.md
318,SWIVEL,Swivel,swivel,watcher,watcher,Uncommon,Skill,2,,Block,cards/0318-swivel-swivel.okf.md
319,SWORD_BOOMERANG,Sword Boomerang,sword-boomerang,ironclad,ironclad,Common,Attack,1,,,cards/0319-sword-boomerang-sword_boomerang.okf.md
320,TACTICIAN,Tactician,tactician,silent,silent,Uncommon,Skill,-2,,Unplayable,cards/0320-tactician-tactician.okf.md
321,TALKTOTHEHAND,Talk to the Hand,talk-to-the-hand,watcher,watcher,Uncommon,Attack,1,,Block; Exhaust,cards/0321-talk-to-the-hand-talktothehand.okf.md
322,TANTRUM,Tantrum,tantrum,watcher,watcher,Uncommon,Attack,1,,draw; Wrath,cards/0322-tantrum-tantrum.okf.md
323,TEMPEST,Tempest,tempest,defect,defect,Uncommon,Skill,-1,,Channel; Exhaust; Lightning,cards/0323-tempest-tempest.okf.md
324,TERROR,Terror,terror,silent,silent,Uncommon,Skill,1,0,Exhaust; Vulnerable,cards/0324-terror-terror.okf.md
325,THE_BOMB,The Bomb,the-bomb,colorless,colorless,Rare,Skill,2,,,cards/0325-the-bomb-the_bomb.okf.md
326,THINKING_AHEAD,Thinking Ahead,thinking-ahead,colorless,colorless,Rare,Skill,0,,Draw; draw; Exhaust,cards/0326-thinking-ahead-thinking_ahead.okf.md
327,THIRDEYE,Third Eye,third-eye,watcher,watcher,Common,Skill,1,,Block; Scry,cards/0327-third-eye-thirdeye.okf.md
328,THUNDER_STRIKE,Thunder Strike,thunder-strike,defect,defect,Rare,Attack,3,,Lightning,cards/0328-thunder-strike-thunder_strike.okf.md
329,THUNDERCLAP,Thunderclap,thunderclap,ironclad,ironclad,Common,Attack,1,,Vulnerable,cards/0329-thunderclap-thunderclap.okf.md
330,TOOLS_OF_THE_TRADE,Tools of the Trade,tools-of-the-trade,silent,silent,Rare,Power,1,0,discard; draw,cards/0330-tools-of-the-trade-tools_of_the_trade.okf.md
331,CLEARTHEMIND,Tranquility,tranquility,watcher,watcher,Common,Skill,1,0,Calm; Exhaust; Retain,cards/0331-tranquility-clearthemind.okf.md
332,TRANSMUTATION,Transmutation,transmutation,colorless,colorless,Rare,Skill,-1,,Exhaust,cards/0332-transmutation-transmutation.okf.md
333,TRIP,Trip,trip,colorless,colorless,Uncommon,Skill,0,,Vulnerable,cards/0333-trip-trip.okf.md
334,TRUE_GRIT,True Grit,true-grit,ironclad,ironclad,Common,Skill,1,,Block; Exhaust,cards/0334-true-grit-true_grit.okf.md
335,TURBO,TURBO,turbo,defect,defect,Common,Skill,0,,discard,cards/0335-turbo-turbo.okf.md
336,TWIN_STRIKE,Twin Strike,twin-strike,ironclad,ironclad,Common,Attack,1,,,cards/0336-twin-strike-twin_strike.okf.md
337,UNLOAD,Unload,unload,silent,silent,Rare,Attack,1,,Discard,cards/0337-unload-unload.okf.md
338,UNRAVELING,Unraveling,unraveling,watcher,watcher,Rare,Skill,2,1,Exhaust,cards/0338-unraveling-unraveling.okf.md
339,UPPERCUT,Uppercut,uppercut,ironclad,ironclad,Uncommon,Attack,2,,Vulnerable; Weak,cards/0339-uppercut-uppercut.okf.md
340,VAULT,Vault,vault,watcher,watcher,Rare,Skill,3,2,Exhaust,cards/0340-vault-vault.okf.md
341,VIGILANCE,Vigilance,vigilance,watcher,watcher,Basic,Skill,2,,Block; Calm,cards/0341-vigilance-vigilance.okf.md
342,VIOLENCE,Violence,violence,colorless,colorless,Rare,Skill,0,,draw; Exhaust,cards/0342-violence-violence.okf.md
343,VOID,Void,void,colorless,colorless,Common,Status,-2,,Ethereal; Unplayable,cards/0343-void-void.okf.md
344,WALLOP,Wallop,wallop,watcher,watcher,Uncommon,Attack,2,,Block,cards/0344-wallop-wallop.okf.md
345,WARCRY,Warcry,warcry,ironclad,ironclad,Common,Skill,0,,Draw; draw; Exhaust,cards/0345-warcry-warcry.okf.md
346,WAVEOFTHEHAND,Wave of the Hand,wave-of-the-hand,watcher,watcher,Uncommon,Skill,1,,Block; Weak,cards/0346-wave-of-the-hand-waveofthehand.okf.md
347,WEAVE,Weave,weave,watcher,watcher,Uncommon,Attack,0,,discard; Scry,cards/0347-weave-weave.okf.md
348,WELL_LAID_PLANS,Well-Laid Plans,well-laid-plans,silent,silent,Uncommon,Power,1,,Retain,cards/0348-well-laid-plans-well_laid_plans.okf.md
349,WHEELKICK,Wheel Kick,wheel-kick,watcher,watcher,Uncommon,Attack,2,,Draw,cards/0349-wheel-kick-wheelkick.okf.md
350,WHIRLWIND,Whirlwind,whirlwind,ironclad,ironclad,Uncommon,Attack,-1,,,cards/0350-whirlwind-whirlwind.okf.md
351,WHITE_NOISE,White Noise,white-noise,defect,defect,Uncommon,Skill,1,0,Exhaust,cards/0351-white-noise-white_noise.okf.md
352,WILD_STRIKE,Wild Strike,wild-strike,ironclad,ironclad,Common,Attack,1,,draw; Wound,cards/0352-wild-strike-wild_strike.okf.md
353,WINDMILLSTRIKE,Windmill Strike,windmill-strike,watcher,watcher,Uncommon,Attack,2,,Retain,cards/0353-windmill-strike-windmillstrike.okf.md
354,WISH,Wish,wish,watcher,watcher,Rare,Skill,3,,Exhaust; Strength,cards/0354-wish-wish.okf.md
355,WORSHIP,Worship,worship,watcher,watcher,Uncommon,Skill,2,,Retain,cards/0355-worship-worship.okf.md
356,WOUND,Wound,wound,colorless,colorless,Common,Status,-2,,Unplayable,cards/0356-wound-wound.okf.md
357,WRAITH_FORM_V2,Wraith Form,wraith-form,silent,silent,Rare,Power,3,,Dexterity,cards/0357-wraith-form-wraith_form_v2.okf.md
358,WREATHOFFLAME,Wreath of Flame,wreath-of-flame,watcher,watcher,Uncommon,Skill,1,,,cards/0358-wreath-of-flame-wreathofflame.okf.md
359,WRITHE,Writhe,writhe,curse,curse,Curse,Curse,-2,,Innate; Unplayable,cards/0359-writhe-writhe.okf.md
360,ZAP,Zap,zap,defect,defect,Basic,Skill,1,0,Channel; Lightning,cards/0360-zap-zap.okf.md
